# Sacha, Dec 11, 2011: I read the associated explanatory notes for the
# text file and it is the column labelled 'pH' that is the most appropriate
# index to plot over time, rather than 'Fld pH'. 'Fld pH' wasn't collected
# until 1987 and is more patchily available, in general. The sampling
# methods obtained for each of the pH measures is different but, according
# to the notes, shouldn't make a big difference for what we want to do with
# the data.
# Sacha: "According to NADP, the annual averages of acidity in U.S. precipitation range from pH 6.0 in Utah to 4.2 in some areas of the Ohio valley. NADP defines "normal" rain as having a pH of 5 to about 6.7, with anything below that being acidic."
# NATIONAL ATMOSPHERIC DEPOSITION PROGRAM/NTN
# Site ID: 156 Date Range: 1978 to 2011 Report Date: 12/12/2011 2:08:43 AM
# Data retrieved from: http://nadp.sws.uiuc.edu/nadpdata/annualReq.asp?site=Custom156
# Direct link to the data: http://nadp.sws.uiuc.edu/nadpdata/seasRep.asp?action=seasRep.asp&site=156&allSites=False&wholestate=False&custom=True&startyr=1978&endyr=2011&DataType=mg%2FL&reportType=csv&Seas=105&useType=4&useDescription=Research+paper&submit=Get+Data&userid=22341
#
SiteID,Summ.Per.,Year,Crit1,Crit2,Crit3,Crit4,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,pH,Cond.,Fld pH,Fld Cond.,Ratio c/a,Svol ml,Ppt cm,% Ppt F Chem.,Valid Samp (L),Valid Samp (F),Days,Dates,Dates2
AK01,Annual,1993,85,100,87,83,0.03,0.007,0.007,0.053,0.018,0.184,0.089,0.271,5.29,3.59,5.1,4.4,0.96,15635.6,46.12,82,35,24,371,12/29/1992,1/4/1994
AK01,Annual,1994,92,100,93,89,0.021,0.003,0.011,0.03,0.022,0.143,0.045,0.206,5.17,3.81,5.12,4,1.39,23206.8,41.19,80,38,27,364,1/4/1994,1/3/1995
AK01,Annual,1995,83,100,97,99,0.019,0.005,0.009,0.039,0.027,0.12,0.051,0.147,5.25,3.14,5.14,4,1.62,21176.2,32.47,73,32,20,364,1/3/1995,1/2/1996
AK01,Annual,1996,81,100,83,98,0.017,0.004,0.011,0.036,0.019,0.139,0.061,0.131,5.2,3.23,5.05,4,1.55,18665.5,33.85,32,27,12,364,1/2/1996,12/31/1996
AK01,Annual,1997,68,100,82,98,0.028,0.006,0.019,0.04,0.015,0.185,0.07,0.236,5.1,4.38,5.2,4.3,1.31,12274.6,22.73,52,25,15,364,12/31/1996,12/30/1997
AK01,Annual,1998,68,96,81,96,0.07,0.011,0.04,0.046,0.073,0.164,0.081,0.21,5.28,4.04,5.4,5.3,1.79,17792.5,33.14,57,23,16,364,12/30/1997,12/29/1998
AK01,Annual,1999,70,100,90,80,0.032,0.003,0.008,0.006,0.046,0.148,0.022,0.125,5.35,2.89,5.25,2.8,1.67,15072.9,29.18,79,23,18,364,12/29/1998,12/28/1999
AK01,Annual,2000,81,100,79,96,0.021,0.003,0.01,0.008,0.013,0.134,0.028,0.137,5.21,3.77,5.08,4.4,1.52,21145,40.42,72,30,22,372,12/28/1999,1/3/2001
AK01,Annual,2001,94,100,97,94,0.023,0.003,0.007,0.007,0.026,0.142,0.034,0.194,5.15,3.85,5.02,4.4,1.42,21449,34.66,54,31,20,363,1/3/2001,1/1/2002
AK01,Annual,2002,91,100,93,94,0.034,0.005,0.022,0.012,0.085,0.172,0.034,0.237,5.28,3.85,5.13,4.2,1.52,22243.9,36.81,89,32,27,364,1/1/2002,12/31/2002
