# extracted by Noel:
# Sapota 06 = herring data in DDTfish.csv
# Lindell et al. 01 = Northern Pike, Arctic Char, and Brown Trout data in DDTfish.csv
# The Lindell etal paper definitely used a log axis, I'm assuming Sapota did as well as they're y axis goes into the -ves and it would make more sense based on the values in the Lindell etal paper.
year	species	system	DDT.ug.g_1.m.l.
1972	herring	baltic.sea	18.49724472
1973	herring	baltic.sea	5.889244721
1974	herring	baltic.sea	11.94624472
1976	herring	baltic.sea	1.809244721
1977	herring	baltic.sea	1.068244721
1978	herring	baltic.sea	-0.909755279
1979	herring	baltic.sea	-0.044755279
1980	herring	baltic.sea	-1.033755279
1981	herring	baltic.sea	-0.786755279
1982	herring	baltic.sea	-1.527755279
1983	herring	baltic.sea	-2.516755279
1984	herring	baltic.sea	-0.786755279
1985	herring	baltic.sea	-0.786755279
1986	herring	baltic.sea	-1.157755279
1987	herring	baltic.sea	-3.876755279
1988	herring	baltic.sea	-3.505755279
1989	herring	baltic.sea	-4.865755279
1990	herring	baltic.sea	-4.865755279
1991	herring	baltic.sea	-4.371755279
1992	herring	baltic.sea	-4.371755279
1993	herring	baltic.sea	-4.741755279
1994	herring	baltic.sea	-5.236755279
1995	herring	baltic.sea	-5.236755279
1996	herring	baltic.sea	-5.607755279
1997	herring	baltic.sea	-5.483755279
1998	herring	baltic.sea	-5.607755279
1999	herring	baltic.sea	-6.101755279
2000	herring	baltic.sea	-6.101755279
2001	herring	baltic.sea	-6.225755279
2002	herring	baltic.sea	-6.225755279
2003	herring	baltic.sea	-6.348755279
1966	arctic.char	lake.Vattern.Sweden	82.467
1967	arctic.char	lake.Vattern.Sweden	49.32
1970	arctic.char	lake.Vattern.Sweden	49.32
1975	arctic.char	lake.Vattern.Sweden	6.11
1978	arctic.char	lake.Vattern.Sweden	5.917
1981	arctic.char	lake.Vattern.Sweden	6.948
1986	arctic.char	lake.Vattern.Sweden	3.654
1990	arctic.char	lake.Vattern.Sweden	3.539
1995	arctic.char	lake.Vattern.Sweden	0.918
1966	northern.pike	lake.Bolmen.Sweden	8.984
1967	northern.pike	lake.Bolmen.Sweden	6.948
1968	northern.pike	lake.Bolmen.Sweden	9.893
1969	northern.pike	lake.Bolmen.Sweden	8.159
1970	northern.pike	lake.Bolmen.Sweden	4.155
1971	northern.pike	lake.Bolmen.Sweden	7.409
1972	northern.pike	lake.Bolmen.Sweden	2.737
1973	northern.pike	lake.Bolmen.Sweden	3.013
1974	northern.pike	lake.Bolmen.Sweden	3.427
1975	northern.pike	lake.Bolmen.Sweden	2.566
1976	northern.pike	lake.Bolmen.Sweden	1.35
1977	northern.pike	lake.Bolmen.Sweden	1.861
1978	northern.pike	lake.Bolmen.Sweden	1.044
1979	northern.pike	lake.Bolmen.Sweden	0.889
1980	northern.pike	lake.Bolmen.Sweden	0.733
1981	northern.pike	lake.Bolmen.Sweden	1.439
1982	northern.pike	lake.Bolmen.Sweden	0.807
1983	northern.pike	lake.Bolmen.Sweden	1.394
1984	northern.pike	lake.Bolmen.Sweden	2.407
1985	northern.pike	lake.Bolmen.Sweden	1.535
1986	northern.pike	lake.Bolmen.Sweden	0.549
1987	northern.pike	lake.Bolmen.Sweden	0.834
1988	northern.pike	lake.Bolmen.Sweden	0.918
1989	northern.pike	lake.Bolmen.Sweden	0.807
1990	northern.pike	lake.Bolmen.Sweden	0.549
1991	northern.pike	lake.Bolmen.Sweden	1.044
1992	northern.pike	lake.Bolmen.Sweden	0.549
1993	northern.pike	lake.Bolmen.Sweden	0.438
1994	northern.pike	lake.Bolmen.Sweden	0.948
1995	northern.pike	lake.Bolmen.Sweden	0.549
1996	northern.pike	lake.Bolmen.Sweden	0.861
1983	brown.trout	lake.Vanern.Sweden	2.257
1989	brown.trout	lake.Vanern.Sweden	1.35
1995	brown.trout	lake.Vanern.Sweden	1.044
