# historical ivory export estimates
# extracted with GraphClick by Sean on December 21, 2011 from 
# Fig 8a of:
# Milner-Gulland, E. J. and J. R. Beddington (1993). The
# exploitation of elephants for the ivory trade: an historical
# perspective. Proceedings of the Royal Society B 252: 29-37.
# units are thousand tonnes
year	solid	dashed	dotted	dotdash
1950	0.032	0.166	NA	0.205
1951	0.088	0.147	NA	0.313
1952	0.165	0.127	NA	0.255
1953	0.236	0.132	NA	0.289
1954	0.204	0.15	NA	0.301
1955	0.209	0.171	NA	0.312
1956	0.257	0.183	NA	0.34
1957	0.244	0.203	NA	0.324
1958	0.256	0.212	NA	0.27
1959	0.379	0.207	NA	0.357
1960	0.392	0.212	NA	0.392
1961	0.242	0.189	NA	0.262
1962	0.338	0.172	NA	0.337
1963	0.288	0.149	NA	0.307
1964	0.397	0.138	NA	0.446
1965	0.44	0.136	NA	0.406
1966	0.447	0.155	NA	0.378
1967	0.555	0.19	NA	0.451
1968	0.614	0.228	NA	0.512
1969	0.641	0.241	NA	0.602
1970	0.626	0.248	NA	0.563
1971	0.494	0.255	NA	0.506
1972	0.611	0.245	NA	0.6
1973	1.226	0.231	NA	0.868
1974	1.051	0.227	NA	0.575
1975	0.925	0.22	NA	0.604
1976	1.06	0.207	NA	0.916
1977	1.237	NA	NA	0.744
1978	0.989	NA	NA	0.766
1979	NA	NA	0.972	NA
1980	NA	NA	0.955	NA
1981	NA	NA	0.932	NA
1982	NA	NA	0.893	NA
1983	NA	NA	1.002	NA
1984	NA	NA	0.61	NA
1985	NA	NA	0.696	NA
1986	NA	NA	0.614	NA
1987	NA	NA	0.33	NA
