# African elephant exports from 1950 to 1987
# Sent by Brett on December 20, 2011
# Datathiefed from Milner-Gulland and Beddington, 1993		
Year	Total ivory export (tonnes)	Total Ivory export (kg)
1950	202.9	202900
1951	246.6	246600
1952	269.7	269700
1953	287.7	287700
1954	295.4	295400
1955	308.3	308300
1956	305.7	305700
1957	318.5	318500
1958	334	334000
1959	326.3	326300
1960	328.8	328800
1961	344.2	344200
1962	354.5	354500
1963	357.1	357100
1964	375.1	375100
1965	395.6	395600
1966	436.7	436700
1967	472.7	472700
1968	501	501000
1969	531.8	531800
1970	570.3	570300
1971	608.9	608900
1972	606.3	606300
1973	616.6	616600
1974	719.4	719400
1975	721.9	721900
1976	739.9	739900
1977	809.3	809300
1978	860.7	860700
1979	871	871000
1980	899.2	899200
1981	906.9	906900
1982	847.8	847800
1983	799	799000
1984	686	686000
1985	580.6	580600
1986	493.3	493300
1987	444.4	444400
