# African elephant exports from 1989 to 2009
# Data sent by Brett on December 20, 2011
# Data are from Milliken, T., R. W. Burn, et al. (2009). "The elephant trade information system (ETIS) and the illicit trade in ivory." CoP15, Doc. 44.1, TRAFFIC, Cambridge, MA,.
# It is assumed that seizures represent about 10% of actual export - wasser et al 2008
Year	Raw ivory weight (kg) 	Semi-worked (kg)	Worked ivory weight (kg)	Total (kg)	Total multiplied by 10 (estimate of export)
1989	18314	778	440	19532	195320
1990	7704	2063	5934	15700	157000
1991	12647	631	4531	17809	178090
1992	14245	235	5240	19721	197210
1993	14242	1296	3437	18976	189760
1994	14715	659	1754	17128	171280
1995	7161	483	1963	9607	96070
1996	16526	1691	2326	20543	205430
1997	7629	463	1765	9857	98570
1998	10923	105	3337	14365	143650
1999	16410	175	3356	19941	199410
2000	17254	750	2398	20401	204010
2001	14367	62	4881	19310	193100
2002	26018	1823	6274	34115	341150
2003	11873	20	3335	15229	152290
2004	8300	45	2991	11336	113360
2005	14484	90	2952	17525	175250
2006	24085	536	2536	27157	271570
2007	8463	49	2256	10768	107680
2008	5184	46	2094	7324	73240
2009	14723	0	327	15051	150510
