# this is a copy of the complete dataset on Oct 28 2011
# file is tab delimited
# the_freq, gscholar_freq, and gbooks_words are all columns used to scale the "freq" column depending on the "type"
"year"	"freq"	"type"	"topic"	"the_freq"	"gscholar_freq"	"gbooks_words"
1860	1	"Google Books"	"acid rain"	NA	NA	527075534
1872	2	"Google Books"	"acid rain"	NA	NA	503182681
1873	5	"Google Books"	"acid rain"	NA	NA	520267515
1875	4	"Google Books"	"acid rain"	NA	NA	601244572
1878	1	"Google Books"	"acid rain"	NA	NA	538814915
1879	6	"Google Books"	"acid rain"	NA	NA	577626163
1880	2	"Google Books"	"acid rain"	NA	NA	684000330
1882	1	"Google Books"	"acid rain"	NA	NA	725802405
1883	3	"Google Books"	"acid rain"	NA	NA	829235251
1887	2	"Google Books"	"acid rain"	NA	NA	767504871
1890	2	"Google Books"	"acid rain"	NA	NA	757961420
1891	3	"Google Books"	"acid rain"	NA	NA	804904443
1893	1	"Google Books"	"acid rain"	NA	NA	844690512
1894	1	"Google Books"	"acid rain"	NA	NA	838387285
1896	2	"Google Books"	"acid rain"	NA	NA	966235908
1899	39	"Google Books"	"acid rain"	NA	NA	1146173920
1900	3	"Google Books"	"acid rain"	1540000	15800	1194673434
1903	1	"Google Books"	"acid rain"	1670000	14100	1201034192
1904	4	"Google Books"	"acid rain"	1680000	14100	1317638262
1905	146	"Google Books"	"acid rain"	1600000	14400	1296062576
1907	1	"Google Books"	"acid rain"	1900000	15000	1316581524
1909	2	"Google Books"	"acid rain"	1970000	15500	1163646985
1910	5	"Google Books"	"acid rain"	2030000	15600	1199425780
1912	6	"Google Books"	"acid rain"	2070000	15800	1264175253
1913	4	"Google Books"	"acid rain"	2200000	16000	1214795822
1914	1	"Google Books"	"acid rain"	2170000	15900	1198107731
1915	2	"Google Books"	"acid rain"	2150000	15700	1081251326
1917	2	"Google Books"	"acid rain"	2030000	15600	1075128817
1918	8	"Google Books"	"acid rain"	1980000	15500	946405350
1919	2	"Google Books"	"acid rain"	2220000	15600	994808751
1920	3	"Google Books"	"acid rain"	2100000	16600	1256124888
1921	3	"Google Books"	"acid rain"	2100000	17700	1088874543
1923	1	"Google Books"	"acid rain"	2180000	17600	999909141
1924	3	"Google Books"	"acid rain"	2080000	18200	907305979
1925	8	"Google Books"	"acid rain"	2250000	19000	926904801
1927	1	"Google Books"	"acid rain"	2520000	18400	1035837121
1928	1	"Google Books"	"acid rain"	2550000	20300	1013773976
1929	2	"Google Books"	"acid rain"	2590000	19100	980364917
1930	1	"Google Books"	"acid rain"	2450000	19300	1049352798
1931	2	"Google Books"	"acid rain"	2590000	19300	1013724606
1933	2	"Google Books"	"acid rain"	2340000	20500	804522115
1936	1	"Google Books"	"acid rain"	2680000	24800	993320338
1937	5	"Google Books"	"acid rain"	2480000	26800	1018146643
1938	8	"Google Books"	"acid rain"	2390000	27500	1023791551
1939	3	"Google Books"	"acid rain"	2490000	29700	1022392170
1940	4	"Google Books"	"acid rain"	2780000	30600	967096233
1941	11	"Google Books"	"acid rain"	2910000	27500	904688774
1943	1	"Google Books"	"acid rain"	2400000	22800	786554945
1944	2	"Google Books"	"acid rain"	2290000	20900	709200138
1946	6	"Google Books"	"acid rain"	2350000	26800	1056582202
1947	3	"Google Books"	"acid rain"	2370000	37400	1268248203
1948	45	"Google Books"	"acid rain"	2640000	28300	1318184735
1949	4	"Google Books"	"acid rain"	2840000	32200	1435313670
1950	1	"Google Books"	"acid rain"	2800000	43700	1483665211
1951	3	"Google Books"	"acid rain"	2740000	44800	1421682778
1952	6	"Google Books"	"acid rain"	2950000	54500	1483448222
1953	3	"Google Books"	"acid rain"	2970000	53000	1425536202
1954	2	"Google Books"	"acid rain"	2900000	48000	1470743400
1956	4	"Google Books"	"acid rain"	3310000	42000	1612180407
1957	1	"Google Books"	"acid rain"	3470000	48100	1713740076
1958	2	"Google Books"	"acid rain"	3440000	52800	1786783468
1959	1	"Google Books"	"acid rain"	3340000	64600	1826583891
1961	10	"Google Books"	"acid rain"	3820000	84500	2304135930
1962	1	"Google Books"	"acid rain"	3750000	101000	2501301402
1963	12	"Google Books"	"acid rain"	3730000	113000	2633879065
1964	3	"Google Books"	"acid rain"	3810000	120000	2452549636
1965	12	"Google Books"	"acid rain"	3690000	104000	2829809493
1966	3	"Google Books"	"acid rain"	3650000	79000	2911802327
1967	13	"Google Books"	"acid rain"	3770000	63400	3106860688
1968	3	"Google Books"	"acid rain"	4040000	60200	3330546737
1969	10	"Google Books"	"acid rain"	3890000	59500	3129567589
