Publication Years	Record Count	% of null
1972	1	0.106
1974	2	0.211
1975	1	0.106
1976	3	0.317
1977	5	0.529
1978	1	0.106
1979	6	0.634
1980	13	1.374
1981	27	2.854
1982	23	2.431
1983	61	6.448
1984	60	6.342
1985	42	4.440
1986	47	4.968
1987	61	6.448
1988	47	4.968
1989	46	4.863
1990	43	4.545
1991	42	4.440
1992	24	2.537
1993	25	2.643
1994	30	3.171
1995	33	3.488
1996	31	3.277
1997	16	1.691
1998	31	3.277
1999	22	2.326
2000	19	2.008
2001	27	2.854
2002	15	1.586
2003	21	2.220
2004	16	1.691
2005	18	1.903
2006	12	1.268
2007	12	1.268
2008	16	1.691
2009	12	1.268
2010	22	2.326
2011	13	1.374
# (TI="acid rain") AND Document Types=(Article)
# Databases=SCI-EXPANDED Timespan=All Years
# Lemmatization=Off
