Publication Years	Record Count	% of null
1940	23427	0.084
1941	23737	0.085
1942	21100	0.075
1943	19843	0.071
1944	17568	0.063
1945	24293	0.087
1946	28222	0.101
1947	33651	0.120
1948	40256	0.144
1949	44245	0.158
1950	48025	0.171
1951	50249	0.179
1952	53000	0.189
1953	55836	0.199
1954	57500	0.205
1955	50337	0.180
1956	68533	0.245
1957	71807	0.256
1958	76519	0.273
1959	81574	0.291
1960	88167	0.315
1961	117556	0.420
1962	118140	0.422
1963	121861	0.435
1964	126973	0.453
1965	146616	0.523
1966	167210	0.597
1967	184678	0.659
1968	206172	0.736
1969	237519	0.848
1970	253816	0.906
1971	269906	0.963
1972	290028	1.035
1973	293126	1.046
1974	318019	1.135
1975	330619	1.180
1976	353340	1.261
1977	404739	1.445
1978	419082	1.496
1979	426119	1.521
1980	437246	1.561
1981	456256	1.629
1982	472725	1.687
1983	496754	1.773
1984	511576	1.826
1985	517787	1.848
1986	520417	1.858
1987	534504	1.908
1988	546164	1.950
1989	563867	2.013
1990	578205	2.064
1991	595152	2.124
1992	601665	2.148
1993	609873	2.177
1994	636171	2.271
1995	667843	2.384
1996	747843	2.670
1997	756379	2.700
1998	770628	2.751
1999	783474	2.797
2000	796748	2.844
2001	795489	2.840
2002	812229	2.899
2003	846238	3.021
2004	882909	3.152
2005	925818	3.305
2006	973564	3.475
2007	1021089	3.645
2008	1091798	3.897
2009	1131882	4.040
2010	1168357	4.171
