Publication Years	Record Count	% of null
1940	23427	0.094
1941	23737	0.096
1942	21100	0.085
1943	19843	0.080
1944	17568	0.071
1945	24293	0.098
1946	28222	0.114
1947	33651	0.135
1948	40256	0.162
1949	44245	0.178
1950	48025	0.193
1951	50249	0.202
1952	53000	0.213
1953	55836	0.225
1954	57500	0.231
1955	50337	0.203
1956	52721	0.212
1957	55498	0.223
1958	59251	0.238
1959	64084	0.258
1960	69047	0.278
1961	99147	0.399
1962	99102	0.399
1963	102746	0.413
1964	107071	0.431
1965	126144	0.508
1966	148628	0.598
1967	164216	0.661
1968	184984	0.744
1969	213975	0.861
1970	224135	0.902
1971	245002	0.986
1972	267285	1.076
1973	267405	1.076
1974	285758	1.150
1975	278437	1.120
1976	295004	1.187
1977	347233	1.397
1978	357253	1.438
1979	362698	1.459
1980	372977	1.501
1981	391728	1.576
1982	406230	1.635
1983	429286	1.727
1984	441183	1.775
1985	447360	1.800
1986	449033	1.807
1987	459780	1.850
1988	472710	1.902
1989	490192	1.972
1990	505582	2.034
1991	522998	2.104
1992	528595	2.127
1993	535399	2.154
1994	559563	2.252
1995	587562	2.364
1996	664369	2.673
1997	675855	2.720
1998	691288	2.782
1999	703571	2.831
2000	714282	2.874
2001	715546	2.879
2002	733142	2.950
2003	768663	3.093
2004	805682	3.242
2005	845554	3.402
2006	889053	3.577
2007	928425	3.736
2008	983284	3.957
2009	1016300	4.089
2010	1048165	4.218
