# Number of publications for TS=conservation in the WoS
# created by Sean on December 23, 2011
# file is tab delimited
Publication Years	Record Count	perc of null
2010	13686	8.059
2009	13546	7.976
2008	12474	7.345
2011	12138	7.147
2007	11211	6.601
2006	10151	5.977
2005	9194	5.414
2004	8198	4.827
2003	7675	4.519
2002	6844	4.030
2001	6526	3.843
2000	6188	3.644
1999	5647	3.325
1998	5603	3.299
1997	5005	2.947
1996	4684	2.758
1995	4190	2.467
1994	3842	2.262
1993	3371	1.985
1992	3235	1.905
1991	2862	1.685
1990	1014	0.597
1989	770	0.453
1983	753	0.443
1984	661	0.389
1988	643	0.379
1987	608	0.358
1985	604	0.356
1980	591	0.348
1986	583	0.343
1981	562	0.331
1979	559	0.329
1982	549	0.323
1978	548	0.323
1977	521	0.307
1976	441	0.260
1975	364	0.214
1974	304	0.179
1973	293	0.173
1971	262	0.154
1970	259	0.153
1972	257	0.151
1969	232	0.137
1968	200	0.118
1967	168	0.099
1966	156	0.092
1965	125	0.074
1958	108	0.064
2012	103	0.061
1964	102	0.060
1959	89	0.052
1960	89	0.052
1963	84	0.049
1961	78	0.046
1962	69	0.041
1957	65	0.038
1956	55	0.032
1947	54	0.032
1950	44	0.026
1951	42	0.025
1954	41	0.024
1953	40	0.024
1952	38	0.022
1949	32	0.019
1946	31	0.018
1948	31	0.018
1955	27	0.016
1945	25	0.015
1918	16	0.009
1912	13	0.008
1940	13	0.008
1937	12	0.007
1942	12	0.007
1931	11	0.006
1936	11	0.006
1938	11	0.006
1939	11	0.006
1943	11	0.006
1926	10	0.006
1933	10	0.006
1941	10	0.006
1944	10	0.006
1919	9	0.005
1925	8	0.005
1934	8	0.005
1909	7	0.004
1920	7	0.004
1911	6	0.004
1915	6	0.004
1916	6	0.004
1923	5	0.003
1924	5	0.003
1932	5	0.003
1935	5	0.003
1905	4	0.002
1910	4	0.002
1917	4	0.002
1922	4	0.002
1927	4	0.002
1929	4	0.002
