Publication Years	Record Count	% of null
1944	46	1.083
1945	104	2.448
1946	147	3.460
1947	116	2.730
1948	106	2.495
1949	75	1.765
1950	52	1.224
1951	48	1.130
1952	52	1.224
1953	42	0.988
1954	33	0.777
1955	22	0.518
1956	31	0.730
1957	17	0.400
1958	21	0.494
1959	20	0.471
1960	34	0.800
1961	42	0.988
1962	38	0.894
1963	45	1.059
1964	51	1.200
1965	45	1.059
1966	55	1.294
1967	65	1.530
1968	86	2.024
1969	105	2.471
1970	133	3.130
1971	132	3.107
1972	142	3.342
1973	94	2.212
1974	123	2.895
1975	100	2.353
1976	70	1.647
1977	91	2.142
1978	85	2.000
1979	78	1.836
1980	56	1.318
1981	82	1.930
1982	67	1.577
1983	62	1.459
1984	51	1.200
1985	65	1.530
1986	48	1.130
1987	58	1.365
1988	38	0.894
1989	54	1.271
1990	40	0.941
1991	32	0.753
1992	38	0.894
1993	33	0.777
1994	69	1.624
1995	40	0.941
1996	39	0.918
1997	47	1.106
1998	36	0.847
1999	37	0.871
2000	45	1.059
2001	50	1.177
2002	49	1.153
2003	52	1.224
2004	60	1.412
2005	59	1.389
2006	69	1.624
2007	64	1.506
2008	80	1.883
2009	63	1.483
2010	70	1.647
2011	49	1.153
2012	1	0.024
# (TI=DDT OR TI=Dichlorodiphenyltrichloroethane) AND Document Types=(Article)
# Databases=SCI-EXPANDED Timespan=All Years
# Lemmatization=Off 

