Publication Years	Record Count	% of 28014058
1940	18842	0.074
1941	19008	0.074
1942	17486	0.068
1943	16335	0.064
1944	14924	0.058
1945	23841	0.093
1946	27443	0.107
1947	32852	0.129
1948	39529	0.155
1949	43481	0.170
1950	47216	0.185
1951	49235	0.193
1952	52168	0.204
1953	54974	0.215
1954	56591	0.222
1955	49443	0.194
1956	65169	0.255
1957	67202	0.263
1958	71719	0.281
1959	77220	0.302
1960	82631	0.324
1961	115321	0.452
1962	115741	0.453
1963	119984	0.470
1964	125191	0.490
1965	145141	0.568
1966	165041	0.646
1967	182086	0.713
1968	200388	0.785
1969	198270	0.776
1970	210214	0.823
1971	224931	0.881
1972	232014	0.909
1973	236388	0.926
1974	253860	0.994
1975	271575	1.063
1976	292180	1.144
1977	324989	1.273
1978	341188	1.336
1979	351189	1.375
1980	362215	1.418
1981	380797	1.491
1982	397844	1.558
1983	420762	1.648
1984	435914	1.707
1985	443675	1.737
1986	448353	1.756
1987	463082	1.813
1988	475971	1.864
1989	494354	1.936
1990	511014	2.001
1991	532940	2.087
1992	548181	2.147
1993	561234	2.198
1994	589540	2.309
1995	621252	2.433
1996	697758	2.732
1997	709703	2.779
1998	723980	2.835
1999	737142	2.887
2000	752520	2.947
2001	755004	2.956
2002	771884	3.023
2003	807173	3.161
2004	845434	3.311
2005	886918	3.473
2006	934406	3.659
2007	971299	3.803
2008	1035456	4.055
2009	1074792	4.209
2010	1113599	4.361
