Publication Years	Record Count	% of null
1940	18842	0.082
1941	19008	0.083
1942	17486	0.076
1943	16335	0.071
1944	14924	0.065
1945	23841	0.104
1946	27443	0.120
1947	32852	0.144
1948	39529	0.173
1949	43481	0.190
1950	47216	0.206
1951	49235	0.215
1952	52168	0.228
1953	54974	0.240
1954	56591	0.247
1955	49443	0.216
1956	50092	0.219
1957	51964	0.227
1958	55352	0.242
1959	60740	0.266
1960	64817	0.283
1961	98154	0.429
1962	98032	0.429
1963	102126	0.447
1964	106231	0.465
1965	126026	0.551
1966	148427	0.649
1967	163993	0.717
1968	181393	0.793
1969	177062	0.774
1970	184034	0.805
1971	202623	0.886
1972	211444	0.925
1973	213424	0.933
1974	225585	0.987
1975	228635	1.000
1976	243939	1.067
1977	277302	1.213
1978	288168	1.260
1979	297620	1.302
1980	308265	1.348
1981	327117	1.431
1982	342900	1.500
1983	366394	1.602
1984	379806	1.661
1985	386837	1.692
1986	390475	1.708
1987	402050	1.758
1988	416221	1.820
1989	434124	1.899
1990	451348	1.974
1991	473382	2.070
1992	487400	2.132
1993	499119	2.183
1994	525600	2.299
1995	553524	2.421
1996	627424	2.744
1997	641567	2.806
1998	657385	2.875
1999	670276	2.931
2000	683398	2.989
2001	687247	3.006
2002	705437	3.085
2003	741669	3.244
2004	779504	3.409
2005	819144	3.582
2006	862475	3.772
2007	893324	3.907
2008	944079	4.129
2009	976957	4.273
2010	1010770	4.420
