Publication Years	Record Count	% of null
1907	5	1.126
1909	1	0.225
1916	1	0.225
1925	1	0.225
1941	1	0.225
1947	2	0.450
1951	1	0.225
1953	1	0.225
1954	1	0.225
1963	1	0.225
1964	2	0.450
1965	1	0.225
1966	4	0.901
1967	9	2.027
1968	4	0.901
1969	3	0.676
1970	3	0.676
1971	1	0.225
1972	4	0.901
1973	5	1.126
1974	1	0.225
1975	2	0.450
1976	3	0.676
1977	3	0.676
1978	4	0.901
1979	6	1.351
1980	6	1.351
1981	5	1.126
1982	2	0.450
1983	8	1.802
1984	4	0.901
1985	1	0.225
1986	5	1.126
1987	3	0.676
1988	6	1.351
1989	8	1.802
1990	2	0.450
1991	5	1.126
1992	4	0.901
1993	8	1.802
1994	11	2.477
1995	14	3.153
1996	9	2.027
1997	15	3.378
1998	17	3.829
1999	13	2.928
2000	14	3.153
2001	4	0.901
2002	13	2.928
2003	14	3.153
2004	12	2.703
2005	27	6.081
2006	16	3.604
2007	21	4.730
2008	31	6.982
2009	25	5.631
2010	28	6.306
2011	22	4.955
2012	1	0.225
# (TI="African elephant" OR TI="Loxodonta") AND Document Types=(Article)
# Databases=SCI-EXPANDED Timespan=All Years
# Lemmatization=Off
